,0
0,2868
1,7063
2,10589
3,3730
4,1615
5,29184
6,2539
7,18094
8,32543
9,1456
10,18535
11,409
12,11770
13,2440
14,13898
15,9225
16,681
17,7487
18,29980
19,5912
20,3905
21,21744
22,1695
23,11526
24,10172
25,37849
26,17025
27,40343
28,284
29,1956
30,29984
31,4381
32,41327
33,8890
34,11033
35,28437
36,13374
37,10574
38,3932
39,5430
40,824
41,151
42,3151
43,2109
44,19747
45,848
46,16790
47,8734
48,14590
49,8013
50,24529
51,6878
52,8812
53,16949
54,9257
55,509
56,8765
57,1519
58,5234
59,18411
60,15713
61,2070
62,37161
63,22689
64,8036
65,1942
66,13232
67,6312
68,5828
69,16148
70,4549
71,9449
72,6915
73,2036
74,10808
75,4895
76,633
77,8458
78,2947
79,21906
80,7958
81,7705
82,1615
83,11828
84,2409
85,3166
86,10113
87,11839
88,5071
89,13515
90,1212
91,10418
92,9105
93,7358
94,34643
95,9306
96,6780
97,734
98,74229
99,35278
