,0
0,8042
1,5669
2,3046
3,3788
4,3790
5,614
6,119
7,2897
8,2247
9,1926
10,2084
11,4352
12,5512
13,3926
14,716
15,1539
16,3618
17,1193
18,250
19,1184
20,2264
21,13113
22,935
23,646
24,1703
25,3693
26,9513
27,1795
28,16428
29,1050
30,4280
31,904
32,362
33,4906
34,13924
35,1102
36,4946
37,1055
38,1541
39,1204
40,1570
41,425
42,1972
43,5696
44,2462
45,968
46,5570
47,3427
48,2949
49,370
50,1288
51,8985
52,3536
53,6156
54,8036
55,1071
56,1248
57,7356
58,365
59,6015
60,4944
61,1843
62,2738
63,2382
64,4297
65,615
66,630
67,10618
68,2398
69,1328
70,9073
71,8764
72,20024
73,4644
74,1235
75,1537
76,1321
77,1622
78,3915
79,130
80,530
81,666
82,3160
83,4679
84,515
85,953
86,2634
87,635
88,976
89,4438
90,179
91,6852
92,3659
93,899
94,10263
95,2267
96,2186
97,1085
98,5839
99,3639
