,0
0,859
1,1441
2,13620
3,1426
4,3730
5,2888
6,712
7,5936
8,3702
9,2334
10,2183
11,260
12,7374
13,657
14,1451
15,3152
16,9596
17,3937
18,5565
19,1153
20,185
21,5325
22,728
23,5811
24,6800
25,9701
26,9149
27,1858
28,9377
29,2902
30,6597
31,3298
32,735
33,16905
34,3782
35,720
36,2632
37,1199
38,2680
39,649
40,2165
41,3632
42,2715
43,3580
44,6023
45,11097
46,590
47,2328
48,291
49,263
50,2638
51,6890
52,2470
53,154
54,4865
55,2684
56,6606
57,463
58,6509
59,704
60,339
61,3440
62,3505
63,722
64,1901
65,2101
66,15643
67,882
68,7332
69,752
70,2718
71,4303
72,1733
73,691
74,5272
75,2320
76,2896
77,278
78,3012
79,2272
80,2017
81,10742
82,390
83,468
84,2553
85,742
86,8794
87,5615
88,10865
89,6118
90,10250
91,9440
92,1204
93,3817
94,3259
95,3945
96,9522
97,12388
98,2349
99,6246
