,0
0,896
1,1904
2,16901
3,3411
4,5060
5,788
6,3620
7,829
8,1284
9,675
10,3743
11,50
12,10500
13,919
14,376
15,1313
16,878
17,1784
18,2122
19,6796
20,358
21,3004
22,8827
23,831
24,1035
25,5453
26,11716
27,1197
28,8691
29,860
30,6538
31,1753
32,2035
33,2134
34,6863
35,4088
36,729
37,7068
38,567
39,790
40,4000
41,495
42,13052
43,1964
44,2989
45,11584
46,3664
47,3537
48,1354
49,2397
50,441
51,5315
52,117
53,7029
54,4153
55,2292
56,7043
57,1462
58,11219
59,3295
60,727
61,7158
62,15539
63,1443
64,6070
65,6421
66,7639
67,268
68,1848
69,10993
70,283
71,17392
72,4638
73,5376
74,1708
75,3247
76,170
77,6539
78,2137
79,5472
80,727
81,8909
82,1315
83,920
84,395
85,4815
86,2099
87,4980
88,18539
89,12893
90,1132
91,1678
92,8518
93,8008
94,3278
95,6699
96,481
97,207
98,2358
99,2350
