w1,w2,w3,w4,score,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
0.5928446182250184,0.8442657485810175,0.857945617622757,0.8472517387841256,40.7,46,32,35,43,37,26,54,48,20,66
0.6235636967859725,0.38438170729269994,0.29753460654447234,0.056712977317443194,33.9,31,46,29,44,18,53,42,30,20,26
0.27265629458011326,0.47766511732135,0.8121687287754934,0.47997717237505744,27.7,29,30,18,20,20,45,38,16,31,30
0.39278479610082984,0.8360787635373778,0.33739616041726844,0.6481718720511973,4131.3,1890,284,8939,11155,1674,722,7515,274,8322,538
0.368241539840548,0.9571551589530466,0.14035078041264518,0.8700872583584366,371.1,39,71,272,105,452,1046,499,97,444,686
0.4736080452737106,0.8009107519796445,0.5204774795512049,0.6788795301189604,148.0,85,61,151,249,109,105,87,399,130,104
0.7206326547259169,0.5820197920751072,0.5373732294490108,0.7586156243223574,146.3,212,127,172,124,228,38,69,143,278,72
0.10590760718779216,0.47360041934665753,0.18633234332676,0.7369181771289582,3960.0,594,2597,2582,4795,12440,7522,2868,2356,2402,1444
0.21655035442437193,0.13521817340545209,0.32414100779321414,0.1496748671836832,17.9,44,23,22,17,8,8,12,13,16,16
0.2223213882515877,0.38648898112586205,0.9025984755294049,0.4499499899112277,18.5,26,8,25,13,18,28,22,12,15,18
0.6130634578841325,0.9023485831739845,0.0992803503589739,0.969809067746749,923.9,104,668,890,1905,300,633,88,48,666,3937
0.6531400357979378,0.17090958513604518,0.35815216696952507,0.7506861412184564,165.6,221,373,123,98,42,188,99,134,292,86
0.6078306687154679,0.32504722900835253,0.03842542647273473,0.6342740579573352,719.7,1189,383,597,620,669,586,439,902,529,1283
0.9589492686245206,0.652790317005491,0.635058873603564,0.9952995676778879,154.0,60,136,164,165,263,112,246,51,164,179
0.5818503294385344,0.4143685882263689,0.474697502288413,0.6235101011318683,116.6,86,189,106,44,53,63,213,108,87,217
0.3380076148388918,0.6747523222590208,0.31720174206929613,0.7783454820259093,1983.3,2065,1203,2007,272,3073,4214,491,1367,1426,3715
0.9495710534507423,0.6625268669500444,0.013571635612109837,0.6228460955466696,1735.5,1842,3126,2326,411,930,5039,1525,535,625,996
0.6736596308357895,0.971945002499666,0.8781934713471772,0.5096243767199002,32.0,20,38,28,42,25,47,26,26,35,33
0.055714693701606324,0.4511592145209282,0.01998766540875874,0.4417109212488455,1582.1,901,2876,3005,154,1724,1415,1299,2957,1069,421
0.9795867288127287,0.35944446396932156,0.48089353083616293,0.6886611828057705,218.0,353,113,294,132,412,225,335,84,67,165
0.8804758892525957,0.9182354663621449,0.21682213762754293,0.5651888666048754,2912.7,864,333,4223,49,7045,5330,2611,3336,175,5161
0.8651025613053852,0.5089689606670146,0.916722954019461,0.9211576102372,46.8,47,65,31,14,28,27,76,80,67,33
0.0831124926306024,0.2777185612810325,0.009356704856532618,0.8423420796677312,981.9,915,911,1829,1850,330,2214,601,191,578,400
0.6471741401875556,0.8413861191973546,0.2647301642834497,0.39782075275862916,2641.2,159,8024,3665,5375,1772,1757,2700,561,2115,284
0.5528214798875716,0.16494046024188416,0.3698080927483401,0.14644176272911227,17.6,15,9,27,11,12,21,9,21,29,22
0.5696184059233068,0.7037372792899164,0.2884764370485287,0.43328806198204417,259.1,276,272,181,268,98,160,131,323,522,360
0.7561066938650411,0.3960982754233624,0.8960383875090773,0.638921076231313,37.8,25,33,31,29,13,67,51,39,64,26
0.8915544372256773,0.6800555694634124,0.44919773821837217,0.9785709284207172,370.2,143,606,91,398,49,440,76,193,1309,397
0.11620190961239443,0.767023703558727,0.4118201389648448,0.6754390812002361,284.4,343,61,224,148,617,505,124,516,150,156
0.24979627565497814,0.313218331945951,0.9654162205199273,0.5884650850687495,16.1,18,22,20,14,10,14,22,25,13,3
0.659668412069413,0.5332062539166483,0.23053302350632993,0.39486929345022925,997.3,1607,260,2303,359,266,1442,407,844,1243,1242
0.6188085645913572,0.4748675154089421,0.4701321892557653,0.7160745312286433,133.8,49,49,151,129,304,246,191,86,36,97
0.28799100436328057,0.383462225034948,0.7491698371527248,0.8784521902760423,45.4,37,28,26,43,72,45,81,44,61,17
0.10286335869343824,0.09237388946089821,0.35404666208381025,0.5518162591332589,26.6,28,15,51,38,18,30,17,34,25,10
0.03362509349883203,0.9689617652602739,0.32099724137349755,0.22126268518378284,445.0,358,128,598,1368,245,233,483,289,334,414
0.14126390492589672,0.0972599270631739,0.9840422413641466,0.26034092758740474,10.2,11,14,28,7,13,5,6,6,3,9
0.5370225213757798,0.44792617187073,0.09956908911081111,0.3523116612005331,1615.0,420,4381,1847,818,1030,636,2488,222,2840,1468
0.46924917399024224,0.8411401297855997,0.9046477442095137,0.03755938382814029,11.1,15,5,16,9,6,15,9,17,6,13
0.508315448578891,0.16684751304849968,0.7790510196090359,0.8649332956024929,35.6,57,46,33,35,25,28,33,26,39,34
0.41139672375545466,0.1399725854932017,0.033222385266177275,0.9825749598251938,980.4,1013,428,412,110,391,2622,496,3300,299,733
0.37329075078325485,0.4200753697906108,0.05058811505423723,0.3654961062634104,577.2,400,588,469,2087,1499,136,114,22,356,101
0.016627973733867266,0.23074233540679573,0.7649116989968574,0.9441235194354548,32.3,46,37,18,17,63,21,20,32,39,30
0.7499992487701005,0.33940381944951864,0.4895489368910938,0.33898511677977833,39.2,33,69,15,23,45,28,97,27,23,32
0.17949026091785572,0.1709865986831315,0.46345097738448304,0.8745729576449968,156.6,304,70,158,171,197,194,87,133,193,59
0.9441197509175637,0.6082528658540131,0.5966554062950532,0.7836442453018887,94.9,123,120,38,56,82,87,158,186,65,34
0.5000262977293015,0.050370056757543816,0.6990980747185113,0.9923963988886328,37.8,37,36,63,24,26,37,28,64,42,21
0.2672625378814783,0.679090615627414,0.8642814426862448,0.7508442456284318,57.1,30,36,54,37,54,70,82,76,43,89
0.9644897677894311,0.5542424350844404,0.21239049889030864,0.2224432243868188,175.4,279,78,39,85,596,172,172,117,113,103
0.2187493737367719,0.5695735345747381,0.4521090350334258,0.9702366830961008,294.4,61,381,433,92,179,357,254,149,194,844
0.6805446911927796,0.08529556585870059,0.05641833271396625,0.48783770435896434,694.3,569,445,1663,244,46,1778,79,1417,164,538
0.12917304814916616,1.0,0.2632174442692586,0.6708300097449138,4640.9,3332,1840,13305,2471,3155,8185,4462,371,5158,4130
0.07912868751442491,1.0,0.2641812139111893,0.6757647828745461,3305.9,7285,3015,1624,5744,2821,387,1006,6890,1915,2372
0.058043952567148956,0.7731976712189229,0.23245883743161624,0.684446484651232,3548.7,596,5647,3421,8430,7730,5504,2910,248,496,505
0.11555461340727088,1.0,0.28022243793760104,0.6461766103763875,2766.4,2509,3697,3314,1236,2916,2416,1608,1136,5023,3809
0.3220293143598997,1.0,0.17670456398893591,0.6148270244020513,3179.7,407,435,7445,5962,131,5976,4308,360,6052,721
1.0,1.0,0.24303298033310802,0.6672745476375778,3927.6,472,4024,2509,14665,1987,1652,3840,8873,657,597
0.9559468170918807,1.0,0.2416407173049746,0.6702244279352345,4170.3,4635,1314,8818,4555,761,9470,4314,4557,1785,1494
0.8484424760228831,1.0,0.23943895769781298,0.67488231178977,1949.2,2614,556,1992,3201,1138,1794,80,750,5847,1520
0.5133657147159822,1.0,0.24448500959052086,0.6486955965081604,2639.7,947,2067,4108,679,3411,489,5234,907,6708,1847
0.0,0.7907961504124096,0.2269327922902387,0.6729218860719284,4732.4,9426,1643,3148,5593,9701,189,2570,10357,695,4002
0.0,0.7168966435769337,0.22054136947591055,0.6737252427996198,4413.1,4494,2386,1716,11366,6926,9266,2476,646,3727,1128
0.2827285548728696,0.6796881720895142,0.21786462461724423,0.6723280929472447,1999.2,338,748,140,5237,1668,2672,226,6719,118,2126
0.0,1.0,0.23101267982885068,0.6681791877170782,2829.2,2809,2004,4810,1616,3965,453,1146,5435,4229,1825
0.0,0.7925364199233969,0.2287571207823888,0.6776809813264372,4327.2,3826,10652,1210,7609,3323,2226,3152,605,7668,3001
0.0,0.7595748850005974,0.22774153447128173,0.6810105578579536,2791.2,3552,4378,155,3948,796,8472,303,1264,976,4068
0.0,0.8185009129980891,0.2286279251060307,0.6759659347254574,3285.0,3733,3511,634,3170,2937,3561,9235,4175,330,1564
0.08042145220562921,1.0,0.25104197029563446,0.6872376137776761,3640.6,743,11439,962,9161,668,3996,6447,328,815,1847
0.0,1.0,0.2529553819929574,0.6979478603773966,3057.6,2821,4483,1077,10116,1170,1279,4399,1004,1989,2238
0.0,1.0,0.21869360681407968,0.6284503537039905,3987.5,5790,2630,4446,1908,4726,1249,3227,6517,905,8477
0.0,1.0,0.2081629491007588,0.6230326753273785,5231.4,729,39,119,8753,619,6990,4029,4713,23970,2353
0.0,1.0,0.1887358787404856,0.6055802436043017,934.8,433,161,1302,3232,854,143,701,926,312,1284
0.0,1.0,0.2511035524276633,0.7223336978232957,2839.1,644,3987,2269,2435,2701,4457,1018,8099,1814,967
1.0,1.0,0.2500970962014249,0.6520560869414712,4359.9,792,1316,2944,2013,13967,5117,1781,3990,3668,8011
1.0,1.0,0.2532791988698628,0.6451970978309204,3083.1,105,804,2864,185,10977,5605,274,5897,3171,949
0.0,1.0,0.2498345234735936,0.6548843370094071,2480.3,2586,2336,245,2117,1188,387,381,757,3322,11484
1.0,1.0,0.24023391804969044,0.6995992854618257,5064.6,4456,508,527,865,1110,1760,7762,11471,424,21763
1.0,1.0,0.24636680476946685,0.7496746693005543,3035.0,3606,8222,162,2724,1295,484,5893,3431,2181,2352
1.0,1.0,0.24035933327648837,0.7192569813324794,2517.0,291,12316,613,188,718,3688,4128,1294,543,1391
